Acc_X,Acc_Y,Acc_Z,Gyro_X,Gyro_Y,Gyro_Z
0.0527,-0.0488,0.8184,33.9500,-211.3300,6.5100
0.1030,0.0020,0.7491,14.4200,-202.0200,5.3200
0.1630,0.0215,0.8320,-6.5800,-192.2900,4.6200
0.2084,-0.0161,0.7769,-15.6100,-183.9600,2.1000
0.2928,0.0473,0.7315,-17.6400,-172.5500,3.0800
0.3021,-0.0117,0.7774,-13.3700,-164.1500,5.1100
0.2757,-0.0781,1.0355,-3.0100,-165.3400,6.2300
0.2704,-0.0815,1.1322,15.2600,-174.7900,9.8000
0.3621,-0.1191,1.0292,16.7300,-181.2300,9.2400
0.3992,-0.0834,0.9296,7.7700,-178.7800,9.2400
0.4182,-0.1108,0.7379,1.7500,-168.7700,7.2100
0.4387,-0.1449,0.6695,-15.5400,-149.8000,3.7100
0.4709,-0.0893,0.5602,-26.8800,-133.0700,1.8900
0.4890,-0.0727,0.4939,-21.0000,-107.8700,2.4500
0.5470,0.0181,0.5890,-23.8700,-91.3500,5.5300
0.5778,-0.0273,0.8189,-20.6500,-76.7200,7.4200
0.5456,-0.0864,1.0092,-15.8900,-75.2500,7.6300
0.5739,-0.0913,1.0204,-7.3500,-76.1600,6.5100
0.5910,-0.0932,0.9321,-1.1200,-74.2700,4.8300
0.5890,-0.0903,0.7554,-1.4700,-64.4700,3.9900
0.6090,-0.1118,0.6222,-5.8800,-51.0300,3.6400
0.6217,-0.1293,0.5402,-3.2900,-30.7300,4.2000
0.6120,-0.1630,0.5290,5.8100,-13.7900,4.6900
0.6163,-0.1449,0.5368,3.9900,10.5000,3.7100
0.6134,-0.1015,0.5680,-2.6600,30.1000,3.6400
0.5998,-0.0874,0.5739,-5.2500,54.6000,4.7600
0.5836,-0.1118,0.5993,-7.8400,74.1300,4.7600
0.5431,-0.0917,0.6437,-6.9300,96.6700,5.3200
0.5109,-0.0278,0.6969,1.1900,117.4600,8.3300
0.5134,0.0190,0.7096,5.6000,135.5900,11.9000
0.5178,0.0508,0.7232,8.3300,160.4400,15.1200
0.4763,0.0142,0.7564,14.5600,179.0600,18.0600
0.4202,-0.0464,0.7925,19.5300,201.1800,18.2700
0.4099,-0.0537,0.8145,16.9400,218.6100,20.7900
0.3587,-0.1015,0.8530,12.6000,239.1200,22.1200
0.2918,-0.1298,0.8213,0.5600,254.6600,18.1300
0.2372,-0.1698,0.8340,-7.4200,270.9000,14.4200
0.1908,-0.1279,0.8906,-6.9300,277.6900,15.2600
0.1479,-0.1430,0.9804,-1.4700,280.2100,16.5900
0.0932,-0.0781,1.0253,3.8500,277.6200,19.3900
0.0498,-0.1098,1.0038,7.6300,273.4200,21.2100
0.0020,-0.1791,0.9521,16.3800,270.4800,19.3900
-0.0669,-0.1752,0.9272,18.4100,268.5900,15.5400
-0.0854,-0.1967,0.8847,15.8900,268.8000,11.6900
-0.1508,-0.2645,0.9243,13.6500,268.3100,4.2700
-0.2718,-0.1957,1.0028,7.7000,258.4400,-0.1400
-0.3387,-0.1493,1.1702,-12.8100,245.7000,-3.1500
-0.3889,-0.1352,1.1907,-21.5600,229.0400,-6.6500
-0.3816,-0.0649,1.0282,-14.0700,218.8900,-7.0000
-0.3460,-0.0332,0.9428,-6.1600,212.3800,-3.7800
-0.3323,-0.0717,0.8843,-3.5700,210.9100,0.4200
-0.3396,-0.1454,0.8213,0.4900,212.1000,1.9600
-0.3543,-0.2323,0.7832,9.4500,211.8200,-1.2600
-0.4377,-0.2006,0.8755,7.0700,208.1100,-4.0600
-0.5280,-0.1825,0.8862,-10.1500,200.9700,-7.7700
-0.5768,-0.1679,0.8901,-17.9200,188.6500,-12.1100
-0.6510,-0.0927,0.8486,-17.9900,181.5100,-14.3500
-0.6368,-0.0542,0.8008,-19.0400,173.5300,-13.5800
-0.6207,-0.0722,0.8159,-5.8100,166.9500,-12.0400
-0.6188,-0.0844,0.7950,7.4900,155.8200,-8.0500
-0.6466,-0.1191,0.7710,20.7200,142.8700,-6.1600
-0.7017,-0.0781,0.7544,24.5000,128.0300,-5.9500
-0.7271,-0.1279,0.7437,21.7000,113.4000,-9.1700
-0.7520,-0.1308,0.7510,16.5900,101.0100,-15.6100
-0.8101,-0.0498,0.7735,8.6800,84.4900,-19.6000
-0.7896,-0.0332,0.7930,1.1200,70.8400,-21.9100
-0.7954,-0.0454,0.8608,6.3000,47.7400,-22.8200
